type,content
link,/wiki/United_States_Pacific_Fleet
link,/wiki/Pearl_Harbor
link,/wiki/Hirohito
link,#cite_note-FOOTNOTEBix2000399–414-175
link,#cite_note-176
link,/wiki/Fumimaro_Konoe
link,#cite_note-177
link,#cite_note-FOOTNOTEBix2000417–420-178
link,/wiki/Prince_Naruhiko_Higashikuni
link,/wiki/Hideki_Tojo
link,#cite_note-FOOTNOTEBix2000418-179
link,/wiki/Attack_on_Pearl_Harbor
link,#cite_note-180
link,#cite_note-FOOTNOTEBix2000424-181
link,#cite_note-USAWWIIcp5-173
link,#cite_note-182
link,#cite_note-183
link,#cite_note-184
link,#cite_note-FOOTNOTELightbody2004125-185
link,#cite_note-186
link,#cite_note-187
link,/wiki/United_States_Pacific_Fleet
link,#cite_note-FOOTNOTEWood200711–12-188
link,/wiki/Japanese_expansion_(1941%E2%80%9342)
link,#cite_note-FOOTNOTEWohlstetter1962341–343-189
link,/wiki/Attack_on_Pearl_Harbor
link,/wiki/Philippines_campaign_(1941%E2%80%931942)
link,/wiki/Battle_of_Guam_(1941)
link,/wiki/Battle_of_Wake_Island
link,/wiki/Malayan_campaign
link,#cite_note-FOOTNOTEWohlstetter1962341–343-189
link,/wiki/Japanese_invasion_of_Thailand
link,/wiki/Battle_of_Hong_Kong
link,#cite_note-190
link,/wiki/United_States_declaration_of_war_on_Japan
link,/wiki/United_Kingdom_declaration_of_war_on_Japan
link,#cite_note-191
link,#cite_note-192
link,#cite_note-Events1941-139
link,#cite_note-193
link,/wiki/Four_Policemen
link,#cite_note-FOOTNOTEBosworthMaiolo2015313–314-194
link,/wiki/Declaration_by_United_Nations
link,/wiki/Atlantic_Charter
link,#cite_note-FOOTNOTEMingstKarns200722-195
link,/wiki/Separate_peace
link,#cite_note-FOOTNOTEShirer1990904-196
link,/wiki/Grand_strategy
link,/wiki/Europe_first
link,/wiki/Operation_Sledgehammer
link,#cite_note-197
link,#cite_note-198
link,/wiki/Casablanca_Conference
link,/wiki/Unconditional_surrender
link,#cite_note-199
link,#cite_note-200
link,/wiki/File:Second_world_war_asia_1937-1942_map_en6.png
link,/wiki/Thailand
link,/wiki/Japanese_invasion_of_Burma
link,/wiki/Malayan_campaign
link,/wiki/Dutch_East_Indies_campaign
link,/wiki/Fall_of_Singapore
link,/wiki/Battle_of_Rabaul_(1942)
link,"#cite_note-FOOTNOTEBeevor2012247–267,_345-201"
link,/wiki/Philippines_campaign_(1941%E2%80%931942)
link,/wiki/Commonwealth_of_the_Philippines
link,#cite_note-FOOTNOTELewis1953p._529_(Table_11)-202
link,/wiki/Battle_of_Yenangyaung
link,#cite_note-FOOTNOTESlim195671–74-203
link,/wiki/Sinking_of_Prince_of_Wales_and_Repulse
link,/wiki/Battle_of_the_Java_Sea
link,/wiki/Indian_Ocean_raid
link,#cite_note-FOOTNOTEGrove1995362-204
link,/wiki/Bombing_of_Darwin
link,"/wiki/Darwin,_Northern_Territory"
link,/wiki/Battle_of_Changsha_(1941%E2%80%931942)
link,#cite_note-FOOTNOTECh'i1992158-205
link,#cite_note-FOOTNOTEPerez1998145-206
link,/wiki/Operation_Mo
link,/wiki/Amphibious_warfare
link,/wiki/Battle_of_the_Coral_Sea
link,#cite_note-FOOTNOTEMaddox1992111–112-207
link,/wiki/Doolittle_Raid
link,/wiki/Midway_Atoll
link,/wiki/Aleutian_Islands_campaign
link,#cite_note-FOOTNOTESalecker2001186-208
link,/wiki/Zhejiang-Jiangxi_campaign
link,#cite_note-209
link,#cite_note-210
link,/wiki/Japanese_naval_codes
link,/wiki/Battle_of_Midway
link,/wiki/Imperial_Japanese_Navy
link,#cite_note-211
link,/wiki/Port_Moresby
link,/wiki/Kokoda_Track_campaign
link,/wiki/Territory_of_Papua
link,#cite_note-FOOTNOTEWeinberg2005339-212
link,/wiki/Solomon_Islands
link,/wiki/Guadalcanal
link,/wiki/Rabaul
link,#cite_note-213
link,/wiki/Guadalcanal_campaign
link,/wiki/Oro_Province
link,/wiki/Battle_of_Buna%E2%80%93Gona
link,#cite_note-FOOTNOTESwain2001197-214
link,/wiki/Operation_Ke
link,#cite_note-FOOTNOTEHane2001340-215
link,/wiki/Arakan_campaign_(1942%E2%80%931943)
link,#cite_note-FOOTNOTEMarston2005111-216
link,/wiki/Operation_Longcloth
link,#cite_note-FOOTNOTEBrayley20029-217
link,/wiki/File:RIAN_archive_44732_Soviet_soldiers_attack_house.jpg
link,/wiki/Red_Army
link,/wiki/Battle_of_Stalingrad
link,/wiki/Central_Russia
link,/wiki/Southern_Russia
link,#cite_note-FOOTNOTEGlantz200131-218
link,/wiki/Battle_of_the_Kerch_Peninsula
link,/wiki/Second_Battle_of_Kharkov
link,#cite_note-FOOTNOTERead2004764-219
link,/wiki/Case_Blue
link,/wiki/Petroleum_industry_in_Azerbaijan
link,/wiki/Kuban
link,/wiki/Steppe
link,/wiki/Army_Group_South
link,/wiki/Army_Group_A
link,/wiki/Don_(river)
link,/wiki/Army_Group_B
link,/wiki/Volga
link,#cite_note-FOOTNOTEDavies2006p._100_(2008_ed.)-220
link,/wiki/Battle_of_Stalingrad
link,/wiki/Urban_warfare
link,/wiki/Operation_Uranus
link,#cite_note-FOOTNOTEBeevor1998239–265-221
link,/wiki/Operation_Mars
link,#cite_note-FOOTNOTEBlack2003119-222
link,#cite_note-FOOTNOTEBeevor1998383–391-223
link,/wiki/Third_Battle_of_Kharkov
link,/wiki/Salient_(military)
link,/wiki/Kursk
link,#cite_note-FOOTNOTEErickson2001142-224
link,/wiki/File:8th_AF_Bombing_Marienburg.JPEG
link,/wiki/Eighth_Air_Force
link,/wiki/Boeing_B-17_Flying_Fortress
link,/wiki/Second_Happy_Time
link,#cite_note-FOOTNOTEMilner199052-225
link,/wiki/Operation_Crusader
link,#cite_note-FOOTNOTEBeevor2012224–228-226
link,/wiki/Battle_of_Gazala#Gazala_line
link,#cite_note-FOOTNOTEMolinari200791-227
link,#cite_note-FOOTNOTEMitcham200731-228
link,/wiki/French_Madagascar
link,/wiki/Battle_of_Madagascar
link,#cite_note-FOOTNOTEBeevor2012380–381-229
link,/wiki/Battle_of_Gazala
link,/wiki/First_Battle_of_El_Alamein
link,#cite_note-FOOTNOTERich1992178-230
link,/wiki/Commando
link,/wiki/Dieppe_Raid
link,#cite_note-FOOTNOTEGordon2004129-231
link,#cite_note-FOOTNOTENeillands200560-232
link,/wiki/Battle_of_Alam_el_Halfa
link,#cite_note-FOOTNOTEKeegan1997277-233
link,/wiki/Operation_Pedestal
link,#cite_note-FOOTNOTESmith2002-234
link,/wiki/Second_Battle_of_El_Alamein
link,#cite_note-FOOTNOTEThomasAndrew19988-235
link,/wiki/Operation_Torch
link,#cite_note-FOOTNOTERoss199738-236
link,/wiki/Case_Anton
link,#cite_note-FOOTNOTERoss199738-236
link,/wiki/Scuttling_of_the_French_fleet_at_Toulon
link,#cite_note-FOOTNOTERoss199738-236
link,#cite_note-FOOTNOTEBonnerBonner200124-237
link,/wiki/Tunisia
link,/wiki/Tunisian_campaign
link,#cite_note-FOOTNOTERoss199738-236
link,#cite_note-FOOTNOTECollier200311-238
link,/wiki/Combined_Bomber_Offensive
link,/wiki/Dehousing
link,#cite_note-239
link,/wiki/Bombing_of_Hamburg_in_World_War_II
link,#cite_note-FOOTNOTEOvery1995119–120-240
link,/wiki/File:SBD_VB-16_over_USS_Washington_1943.jpg
link,/wiki/United_States_Navy
link,/wiki/Douglas_SBD_Dauntless
link,/wiki/Scout_plane
link,/wiki/USS_Washington_(BB-56)
link,/wiki/USS_Lexington_(CV-16)
link,/wiki/Gilbert_and_Marshall_Islands_campaign
link,/wiki/Aleutian_Islands_campaign#Allied_response
link,#cite_note-FOOTNOTEThompsonRandall2008164-241
link,/wiki/Operation_Cartwheel
link,/wiki/Gilbert_and_Marshall_Islands_campaign
link,#cite_note-FOOTNOTEKennedy2001610-242
link,/wiki/Operation_Hailstone
link,/wiki/Caroline_Islands
link,/wiki/Western_New_Guinea_campaign
link,#cite_note-FOOTNOTERottman2002228-243
link,/wiki/Central_Russia
link,/wiki/Battle_of_Kursk
link,#cite_note-244
link,#cite_note-FOOTNOTEKershaw2001592-245
link,/wiki/Allied_invasion_of_Sicily
link,/wiki/Fall_of_the_Fascist_regime_in_Italy
link,#cite_note-FOOTNOTEO'Reilly200132-246
link,/wiki/Operation_Kutuzov
link,#cite_note-FOOTNOTEBellamy2007595-247
link,#cite_note-FOOTNOTEO'Reilly200135-248
link,#cite_note-FOOTNOTEHealy199290-249
link,/wiki/Panther%E2%80%93Wotan_line
link,/wiki/Smolensk_operation
link,/wiki/Battle_of_the_Dnieper
link,#cite_note-FOOTNOTEGlantz200150–55-250
link,/wiki/Allied_invasion_of_Italy
link,/wiki/Armistice_of_Cassibile
link,#cite_note-251
link,/wiki/Operation_Achse
link,#cite_note-FOOTNOTEMazower2008362-252
link,#cite_note-FOOTNOTEHartHartHughes2000151-253
link,/wiki/Gran_Sasso_raid
link,/wiki/Italian_Social_Republic
link,#cite_note-FOOTNOTEBlinkhorn200652-254
link,/wiki/Italian_Civil_War
link,/wiki/Winter_Line
link,#cite_note-FOOTNOTEReadFisher2002129-255
link,/wiki/File:Soviet_troops_and_T-34_tanks_counterattacking_Kursk_Voronezh_Front_July_1943.jpg
link,/wiki/Red_Army
link,/wiki/Battle_of_Kursk
link,/wiki/Black_May_(1943)
link,#cite_note-256
link,/wiki/Cairo_Conference
link,/wiki/Tehran_Conference
link,"#cite_note-Kolko_1990_211,235,267_268-257"
link,#cite_note-Iriye_1981_154-258
link,/wiki/Burma_campaign
link,#cite_note-FOOTNOTEMitter2014286-259
link,#cite_note-polley148-260
link,/wiki/Battle_of_Changde
link,#cite_note-Beevor_2012_268_274-261
link,#cite_note-H161-262
link,#cite_note-Hsu_Chang_412-416-263
link,/wiki/Battle_of_Monte_Cassino
link,/wiki/Battle_of_Anzio
link,#cite_note-264
link,/wiki/Leningrad_Front
link,/wiki/Siege_of_Leningrad#Soviet_relief_of_the_siege
link,/wiki/Leningrad_Oblast
link,/wiki/List_of_battles_by_casualties#Sieges_and_urban_combat
link,#cite_note-Glantz_2002_327_366-265
link,/wiki/Leningrad%E2%80%93Novgorod_offensive
link,/wiki/Battle_of_Narva_(1944)
link,/wiki/Army_Group_North
link,/wiki/German_occupation_of_Estonia_during_World_War_II#Estonians_in_Nazi_German_military_units
link,/wiki/Estonian_government-in-exile#Failure_to_reestablish_independence
link,/wiki/Baltic_Sea
link,#cite_note-Glantz_2002_367_414-266
link,/wiki/Crimean_offensive
link,/wiki/Dnieper%E2%80%93Carpathian_offensive
link,/wiki/First_Jassy%E2%80%93Kishinev_offensive
link,#cite_note-Chubarov_2001_122-267
link,#cite_note-268
link,/wiki/Operation_U-Go
link,#cite_note-Lightbody_2004_224-269
link,/wiki/Battle_of_Imphal
link,/wiki/Battle_of_Kohima
link,#cite_note-Zeiler-270
link,#cite_note-Zeiler-270
link,/wiki/Battle_of_Northern_Burma_and_Western_Yunnan
link,/wiki/Siege_of_Myitkyina
link,/wiki/Myitkyina
link,#cite_note-271
link,/wiki/Operation_Ichi-Go
link,#cite_note-272
link,/wiki/Henan
link,/wiki/Battle_of_Changsha_(1944)
link,#cite_note-273
link,/wiki/File:Approaching_Omaha.jpg
link,/wiki/Omaha_Beach
link,/wiki/Operation_Overlord
link,/wiki/Normandy_landings
link,/wiki/Normandy_landings
link,#cite_note-rees406-274
link,/wiki/Operation_Overlord
link,/wiki/Operation_Dragoon
link,#cite_note-Weinberg_2005_695-275
link,/wiki/Falaise_pocket
link,/wiki/Paris
link,/wiki/Liberation_of_Paris
link,/wiki/French_Resistance
link,/wiki/Free_French_Forces
link,/wiki/Charles_de_Gaulle
link,#cite_note-276
link,/wiki/Siegfried_Line_campaign
link,/wiki/Operation_Market_Garden
link,#cite_note-277
link,/wiki/Operation_Queen
link,/wiki/Gothic_Line
link,#cite_note-278
link,/wiki/Operation_Bagration
link,/wiki/Army_Group_Centre
link,#cite_note-Zaloga_1996_7-279
link,/wiki/Lvov%E2%80%93Sandomierz_offensive
link,/wiki/Polish_Committee_of_National_Liberation
link,/wiki/Home_Army
link,/wiki/Praga
link,/wiki/Vistula
link,/wiki/Warsaw_Uprising
link,#cite_note-280
link,/wiki/Slovak_National_Uprising
link,/wiki/Slovak_Republic_(1939%E2%80%931945)
link,#cite_note-281
link,/wiki/Red_Army
link,/wiki/Second_Jassy%E2%80%93Kishinev_offensive
link,/wiki/Army_Group_South_Ukraine
link,/wiki/1944_Romanian_coup_d%27%C3%A9tat
link,/wiki/1944_Bulgarian_coup_d%27%C3%A9tat
link,#cite_note-countrystudies.us-282
link,/wiki/File:Douglas_MacArthur_lands_Leyte1.jpg
link,/wiki/General_(United_States)
link,/wiki/Douglas_MacArthur
link,/wiki/Commonwealth_of_the_Philippines
link,/wiki/Battle_of_Leyte
link,/wiki/Democratic_Federal_Yugoslavia
link,/wiki/Army_Group_E
link,/wiki/Army_Group_F
link,/wiki/Axis_occupation_of_Greece
link,/wiki/German_occupation_of_Albania
link,#cite_note-Evans_2008_653-283
link,/wiki/Yugoslav_Partisans
link,/wiki/Josip_Broz_Tito
link,/wiki/World_War_II_in_Yugoslavia
link,/wiki/Territory_of_the_Military_Commander_in_Serbia
link,/wiki/Red_Army
link,/wiki/Belgrade_offensive
link,/wiki/Budapest_offensive
link,/wiki/Operation_Panzerfaust
link,/wiki/Siege_of_Budapest
link,#cite_note-284
link,/wiki/Continuation_War
link,/wiki/Vyborg%E2%80%93Petrozavodsk_offensive
link,/wiki/Karelian_Isthmus
link,/wiki/Moscow_Armistice
link,#cite_note-285
link,/wiki/Lapland_War
link,#cite_note-FOOTNOTEShirer19901085-286
link,/wiki/Assam
link,/wiki/Chindwin_River
link,#cite_note-Marston_2005_120-287
link,/wiki/Battle_of_Mount_Song
link,/wiki/Burma_Road
link,#cite_note-288
link,/wiki/Battle_of_Changsha_(1944)
link,/wiki/Battle_of_Hengyang
link,#cite_note-289
link,/wiki/Guangxi
link,/wiki/Battle_of_Guilin%E2%80%93Liuzhou
link,#cite_note-290
link,#cite_note-Drea_2003_54-291
link,/wiki/Mariana_and_Palau_Islands_campaign
link,/wiki/Battle_of_the_Philippine_Sea
link,/wiki/Hideki_Tojo
link,/wiki/Battle_of_Leyte
link,/wiki/Battle_of_Leyte_Gulf
link,#cite_note-292
link,"/wiki/File:Yalta_Conference_(Churchill,_Roosevelt,_Stalin)_(B%26W).jpg"
link,/wiki/Yalta_Conference
link,/wiki/Winston_Churchill
link,/wiki/Franklin_D._Roosevelt
link,/wiki/Joseph_Stalin
link,/wiki/Battle_of_the_Bulge
link,/wiki/Operation_Northwind_(1944)
link,/wiki/Antwerp
link,#cite_note-parkerxiii-293
link,/wiki/Vistula%E2%80%93Oder_offensive
link,/wiki/East_Prussian_offensive
link,#cite_note-294
link,/wiki/Yalta_Conference
link,#cite_note-295
link,/wiki/Silesian_offensives
link,/wiki/East_Pomeranian_offensive
link,/wiki/Western_Allied_invasion_of_Germany
link,/wiki/Rhine
link,/wiki/Operation_Plunder
link,/wiki/Remagen
link,/wiki/Ruhr_(river)
link,/wiki/Ruhr_pocket
link,#cite_note-296
link,/wiki/Operation_Spring_Awakening
link,/wiki/Lake_Balaton
link,/wiki/Vienna_offensive
link,/wiki/Battle_of_K%C3%B6nigsberg
link,/wiki/Spring_1945_offensive_in_Italy
link,/wiki/Capture_of_Hamburg
link,/wiki/Battle_of_Nuremberg_(1945)
link,/wiki/Elbe_Day
link,/wiki/Battle_of_Berlin
link,#cite_note-FOOTNOTEKershaw2001793–829-297
link,/wiki/Surrender_of_Caserta
link,/wiki/Italian_Social_Republic
link,/wiki/Reichstag_building
link,#cite_note-Shepardson_1998-298
link,/wiki/Harry_S._Truman
link,#cite_note-299
link,/wiki/Death_of_Benito_Mussolini
link,/wiki/Italian_resistance_movement
link,#cite_note-O'Reilly_2001_244-300
link,/wiki/Death_of_Adolf_Hitler
link,/wiki/F%C3%BChrerbunker
link,/wiki/Grand_Admiral
link,/wiki/Karl_D%C3%B6nitz
link,/wiki/President_of_Germany_(1919%E2%80%931945)
link,/wiki/Joseph_Goebbels
link,/wiki/Chancellor_of_the_Reich
link,/wiki/Lutz_Graf_Schwerin_von_Krosigk
link,/wiki/Flensburg_Government
link,/wiki/German_Instrument_of_Surrender
link,/wiki/Victory_in_Europe_Day
link,/wiki/Victory_Day_(9_May)
link,#cite_note-Evans_2008_737-301
link,/wiki/Prague_offensive
link,#cite_note-Glantz_1998_34-302
link,/wiki/Flensburg
link,/wiki/Berlin_Declaration_(1945)
link,#cite_note-303
link,/wiki/Commonwealth_of_the_Philippines
link,/wiki/Philippines_campaign_(1944%E2%80%931945)
link,/wiki/Battle_of_Leyte
link,/wiki/Battle_of_Luzon
link,/wiki/Battle_of_Manila_(1945)
link,/wiki/Battle_of_Mindanao
link,/wiki/End_of_World_War_II_in_Asia
link,#cite_note-304
link,/wiki/United_States_Army_Air_Forces
link,/wiki/Air_raids_on_Japan
link,/wiki/Bombing_of_Tokyo
link,#cite_note-305
link,"/wiki/File:Mamoru_Shigemitsu_signs_the_Instrument_of_Surrender,_officially_ending_the_Second_World_War.jpg"
link,/wiki/Mamoru_Shigemitsu
link,/wiki/Japanese_Instrument_of_Surrender
link,/wiki/USS_Missouri_(BB-63)
link,/wiki/Borneo_campaign
link,/wiki/Burma_campaign
link,/wiki/Yangon
link,#cite_note-Drea_2003_57-306
link,/wiki/Battle_of_West_Hunan
link,/wiki/Battle_of_Iwo_Jima
link,/wiki/Battle_of_Okinawa
link,#cite_note-307
link,/wiki/Allied_submarines_in_the_Pacific_War
link,#cite_note-results_of_german_and_american_submarines-308
link,#cite_note-309
link,/wiki/Potsdam_Conference
link,/wiki/Potsdam_Agreement
link,#cite_note-Williams_2006_90-310
link,/wiki/Potsdam_Declaration
link,#cite_note-Miscamble_2007_201-311
link,/wiki/1945_United_Kingdom_general_election
link,/wiki/Clement_Attlee
link,#cite_note-Miscamble_2007_203_204-312
link,#cite_note-313
link,/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki
link,/wiki/Hiroshima
link,/wiki/Nagasaki
link,/wiki/Soviet%E2%80%93Japanese_War
link,/wiki/Soviet_invasion_of_Manchuria
link,/wiki/Kwantung_Army
link,#cite_note-314
link,#cite_note-Pape_1993-315
link,/wiki/Soviet_invasion_of_South_Sakhalin
link,/wiki/Invasion_of_the_Kuril_Islands
link,/wiki/Potsdam_Declaration
link,#cite_note-FOOTNOTEBix2000525–526-316
link,/wiki/Hirohito_surrender_broadcast
link,#cite_note-FOOTNOTEBix2000526–528-317
link,/wiki/Surrender_of_Japan
link,/wiki/Japanese_Instrument_of_Surrender
link,/wiki/Tokyo_Bay
link,/wiki/USS_Missouri_(BB-63)
link,#cite_note-Beevor_2012_776-318
link,/wiki/Aftermath_of_World_War_II
link,/wiki/Consequences_of_Nazism
link,"/wiki/File:Nuremberg_Trials._Looking_down_on_defendants_dock,_circa_1945-1946._-_NARA_-_540127.jpg"
link,/wiki/Nuremberg_trials
link,/wiki/Nazi_Germany
link,/wiki/Crimes_against_humanity
link,/wiki/Allied-occupied_Austria
link,/wiki/Allied-occupied_Germany
link,/wiki/Trizone
link,/wiki/Soviet_occupation_zone_in_Germany
link,/wiki/West_Germany
link,/wiki/East_Germany
link,#cite_note-Wettig_2008_96_100-319
link,/wiki/Denazification
link,/wiki/Nuremberg_trials
link,#cite_note-Frei_2002_41_66-320
link,/wiki/Silesia
link,/wiki/Neumark
link,/wiki/Pomerania
link,#cite_note-Eberhardt-2015-321
link,/wiki/East_Prussia
link,/wiki/Flight_and_expulsion_of_Germans_(1944%E2%80%931950)
link,#cite_note-Eberhardt-2006-322
link,#cite_note-Eberhardt-2011-323
link,/wiki/Sudetenland
link,/wiki/Curzon_Line
link,#cite_note-Eberhardt-2012-324
link,/wiki/Polish_population_transfers_(1944%E2%80%931946)
link,#cite_note-Eberhardt-2011-323
link,#cite_note-stalinswars43-325
link,#cite_note-stalinswars55-326
link,#cite_note-shirer794-327
link,#cite_note-ckpipe-328
link,/wiki/Baltic_states
link,/wiki/Soviet_re-occupation_of_the_Baltic_states_(1944)
link,#cite_note-Wettig_2008_20_21-329
link,#cite_note-Senn_2007_?-330
link,/wiki/1946_Italian_institutional_referendum
link,/wiki/Italian_Empire
link,/wiki/Treaty_of_Paris_between_Italy_and_the_Allied_Powers
link,#cite_note-331
link,/wiki/World_peace
link,#cite_note-Yoder_1997_39-332
link,/wiki/United_Nations
link,#cite_note-333
link,#cite_note-334
link,/wiki/Universal_Declaration_of_Human_Rights
link,/wiki/Member_states_of_the_United_Nations
link,#cite_note-Waltz_2002-335
link,/wiki/Great_powers
link,/wiki/Permanent_members_of_the_United_Nations_Security_Council
link,/wiki/United_Nations_Security_Council
link,#cite_note-The_UN_Security_Council-336
link,/wiki/United_Nations_General_Assembly_Resolution_2758
link,/wiki/Taiwan
link,/wiki/China
link,/wiki/Succession_of_states
link,/wiki/Russia
link,/wiki/Dissolution_of_the_Soviet_Union
link,#cite_note-Kantowicz_2000_6-337
link,/wiki/File:EasternBloc_BorderChange38-48.svg
link,/wiki/Central_Europe
link,/wiki/Communism
link,/wiki/Eastern_Bloc
link,/wiki/Spheres_of_influence
link,#cite_note-Trachtenberg_1999_33-338
link,/wiki/Eastern_Bloc
link,/wiki/East_Germany
link,#cite_note-Applebaum_2012-339
link,/wiki/Polish_People%27s_Republic
link,/wiki/Hungarian_People%27s_Republic
link,/wiki/Socialist_Republic_of_Romania
link,/wiki/People%27s_Republic_of_Bulgaria
link,/wiki/Czechoslovak_Socialist_Republic
link,/wiki/People%27s_Socialist_Republic_of_Albania
link,#cite_note-Naimark_2010-340
link,/wiki/Satellite_state#Soviet_satellite_states
link,/wiki/Socialist_Federal_Republic_of_Yugoslavia
link,/wiki/Non-Aligned_Movement
link,/wiki/Tito%E2%80%93Stalin_split
link,#cite_note-Swain_1992-341
link,/wiki/Greek_Civil_War
link,#cite_note-342
link,/wiki/NATO
link,/wiki/Warsaw_Pact
link,#cite_note-Borstelmann_2005_318-343
link,/wiki/Cold_War
link,/wiki/Arms_race
link,/wiki/Proxy_war
link,#cite_note-344
link,/wiki/Occupation_of_Japan
link,/wiki/Trust_Territory_of_the_Pacific_Islands
link,/wiki/South_Sakhalin
link,/wiki/Kuril_Islands
link,#cite_note-Weinberg_2005_911-345
link,/wiki/Korea
link,/wiki/Korea_under_Japanese_rule
link,/wiki/Division_of_Korea
link,/wiki/North_Korea
link,/wiki/South_Korea
link,/wiki/Korean_War
link,#cite_note-346
link,/wiki/Chinese_Civil_War
link,/wiki/Taiwan
link,#cite_note-Lynch_2010_12_13-347
link,/wiki/United_Nations_Partition_Plan_for_Palestine
link,/wiki/Creation_of_Israel
link,/wiki/Arab%E2%80%93Israeli_conflict
link,/wiki/Colonial_empire
link,/wiki/Decolonization
link,#cite_note-JMRoberts_1996_589-348
link,#cite_note-349
link,/wiki/Mid-20th_century_baby_boom
link,#cite_note-350
link,/wiki/Allied_plans_for_German_industry_after_World_War_II
link,#cite_note-Balabkins_1964_207-351
link,#cite_note-352
link,"#cite_note-Balabkins_1964_208,209-353"
link,/wiki/Bretton_Woods_Conference
link,/wiki/International_Monetary_Fund
link,/wiki/International_Bank_for_Reconstruction_and_Development
link,/wiki/World_Bank_Group
link,/wiki/Bretton_Woods_system
link,#cite_note-354
link,/wiki/Deutsche_Mark
link,/wiki/Marshall_Plan
link,#cite_note-355
link,#cite_note-Balabkins_1964_212-356
link,/wiki/Wirtschaftswunder#West_Germany
link,#cite_note-357
link,/wiki/Italian_economic_miracle
link,#cite_note-358
link,/wiki/Trente_Glorieuses
link,#cite_note-359
link,#cite_note-360
link,#cite_note-361
link,#cite_note-362
link,#cite_note-Smith_1993_32-363
link,/wiki/World_War_II_reparations
link,#cite_note-364
link,#cite_note-365
link,#cite_note-366
link,#cite_note-367
link,/wiki/Historiography_of_World_War_II
link,/wiki/World_War_II_casualties
link,/wiki/War_crimes_in_World_War_II
link,/wiki/File:World_War_II_Casualties.svg
link,#cite_note-368
link,/wiki/Battle_casualties_of_World_War_II
link,#cite_note-WWII:_C&C-369
link,#cite_note-370
link,#cite_note-371
link,#cite_note-372
link,#cite_note-Ell&Mak_1994-373
link,#cite_note-374
link,#cite_note-Herf_2003-375
link,#cite_note-376
link,#cite_note-Niewyk45-377
link,/wiki/Racial_policy_of_Nazi_Germany
link,/wiki/Mass_killing
link,/wiki/The_Holocaust
link,/wiki/Romani_Holocaust
link,/wiki/Persecution_of_homosexuals_in_Nazi_Germany
link,/wiki/World_War_II_casualties_of_Poland
link,#cite_note-378
link,#cite_note-379
link,/wiki/World_War_II_casualties_of_the_Soviet_Union
link,/wiki/Holocaust_victims
link,#cite_note-380
link,#cite_note-Niewyk45-377
link,/wiki/Serbs
link,/wiki/Genocide_of_Serbs_in_the_Independent_State_of_Croatia
link,/wiki/Usta%C5%A1e
link,/wiki/Yugoslavia
link,#cite_note-381
link,/wiki/Bosniaks
link,/wiki/Croats
link,/wiki/Chetnik_war_crimes_in_World_War_II
link,/wiki/Chetniks
link,#cite_note-382
link,#cite_note-Geiger-383
link,/wiki/Ukrainian_Insurgent_Army
link,/wiki/Massacres_of_Poles_in_Volhynia_and_Eastern_Galicia
link,#cite_note-384
link,/wiki/Home_Army
link,#cite_note-385
link,/wiki/File:Nanking_bodies_1937.jpg
link,/wiki/Imperial_Japanese_Army
link,/wiki/Nanjing_Massacre
link,#cite_note-386
link,/wiki/M._R._D._Foot
link,#cite_note-387
link,#cite_note-388
link,#cite_note-389
link,/wiki/Nanjing_Massacre
link,#cite_note-390
link,/wiki/Three_Alls_policy
link,/wiki/Yasuji_Okamura
link,/wiki/Hebei
link,/wiki/Shandong
link,#cite_note-391
link,/wiki/Biological_warfare
link,/wiki/Chemical_warfare
link,/wiki/Imperial_Japanese_Army
link,/wiki/Second_Sino-Japanese_War
link,/wiki/Unit_731
link,#cite_note-392
link,#cite_note-393
link,/wiki/Battles_of_Khalkhin_Gol
link,#cite_note-394
link,/wiki/Japanese_human_experimentation_on_the_Chinese
link,#cite_note-395
link,/wiki/Prisoner_of_war
link,#cite_note-396
link,/wiki/Katyn_massacre
link,#cite_note-397
link,/wiki/NKVD_prisoner_massacres
link,/wiki/NKVD
link,/wiki/Population_transfer_in_the_Soviet_Union
link,/wiki/Occupation_of_the_Baltic_states
link,/wiki/Territories_of_Poland_annexed_by_the_Soviet_Union
link,#cite_note-398
link,/wiki/Soviet_occupation_zone_in_Germany
link,#cite_note-399
link,#cite_note-Bird-400
link,#cite_note-:4-401
link,#cite_note-402
link,#cite_note-403
link,/wiki/Positive_law
link,/wiki/Customary_international_law
link,/wiki/International_humanitarian_law
link,/wiki/Aerial_warfare
link,#cite_note-404
link,/wiki/Air_raids_on_Japan
link,/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki
link,#cite_note-405
link,/wiki/The_Holocaust
link,/wiki/Nazi_concentration_camps
link,/wiki/Extermination_camp
link,/wiki/Forced_labour_under_German_rule_during_World_War_II
link,/wiki/Kidnapping_of_children_by_Nazi_Germany
link,/wiki/Nazi_human_experimentation
link,/wiki/Soviet_war_crimes#World_War_II
link,/wiki/Japanese_war_crimes
link,"/wiki/File:The_Liberation_of_Bergen-belsen_Concentration_Camp,_April_1945_BU4031.jpg"
link,/wiki/Schutzstaffel
link,/wiki/Bergen-Belsen_concentration_camp
link,/wiki/Nazi_Germany
link,/wiki/Dictatorship
link,/wiki/The_Holocaust
link,/wiki/Life_unworthy_of_life
link,/wiki/Disability
link,/wiki/Mental_disorder
link,/wiki/German_atrocities_committed_against_Soviet_prisoners_of_war
link,/wiki/Romani_people
link,/wiki/Homosexuals
